,test.question,test.answer,newseq2seq_generated_test.answer,oldseq2seq_generated_test.answer
0,徐锐是谁,不告诉你！,是个傻逼撒~,他是二嘎子诶。
1,你跟你妈妈是炮友,=。=,我爱妈妈,我是小通
2,最猥亵的人,==,�,=。=
3,我闪,实力派神马的才是真爱啊,围观死了，我就知道你喜欢他,哪个好友发啊
4,我还是没找到t^t,笑,==,==
5,舍不得怎么办,最后你离开了,去表白吧,你相信我吗
6,你为什么叫做,因为我屎黄屎黄的！,因为我随你啊,=。=
7,智商捉鸡,无下限,无下限,无下限
8,呜呜一个给大爷听听,大爷不要这个样子了~,大爷先给奴家乐一个,==
9,就我一个人,怎么了？,没关系，你还有我,是啊...
10,插上后开机分区吗,不分区服随便进啦,画在我心间,能打飞机了？
11,买不起小米,皇上~,==,是个很可爱的女生没
12,张宇辉是狂鬼。,不是你吗,人家也不是故意的嘛。,=。=
13,你好快啊小通?你是机器不,当然不是啦,==,哎。一般人的是不是理他、和智慧simsimi
14,加油吹,嗯嗯，我会很优秀，你也很棒,你怎么办,嗯，您以为我会在聊
15,"你总是好多句号,哎",=。=,=。=,=。=
16,看来不是人工，只是智能而已，还好还好,其实也不是你说的这样耶,我会一直陪着你的,你貌似话里有话呢
17,太邪恶,你太彪了,一天到晚盯着只小通的猥琐男才邪恶,==
18,"累死啦,对了一天的帐",给你按摩。主任,==,那就走吧
19,还说物流慢……等不到东西,你我的结局,我是，你不是,继续～
20,我爱吃面条你,虫子多好吃啊！我请你吃吧！,我也是,嗯嗯，说吧。什么？
21,小熊样,==,是个贱人熊,=。=
22,这是歧视么,这是自信~,抢人家生意的大贱人，讨厌啦〜,当然是你！
23,你不承认,嗯，用我一生，换你十年天真无邪,承认啊，谁有空和你较劲,承认啊，谁有空和你较劲
24,"刚看完电视剧,心情很激动",看的什么片儿？,==,没吃
25,"是什么意思,你懂不懂单反",==,=。=,看主人
26,你是不是只sb鸡,=。=,咱俩一样,我会好好学习增长智商的。
27,下次艾特你还敢不敢不回了,=。=,=。=,别生气了'别跟他门一般见识'他们不配
28,我怎么哎特你,大人您真是美的无与伦比,你勾引我!,呜呜……小通累了想休息一下
29,一个字帅,越来越喜欢你了,汪汪……,么么
30,你才长毛,上有三根救命长毛,原来丢脸是这样的，原来无所谓很难,==
